epoch,train_loss,train_accuracy,val_accuracy,precision,recall,f1,tn,fp,fn,tp,lr
1.0,186.72855412960052,87.30928977349974,89.62261586307388,0.47660577489687683,0.2719167305442369,0.3462743822033462,639130.0,22205.0,54141.0,20220.0,0.0001
2.0,161.8597690165043,88.39080811376675,89.56851743111285,0.47782802061817303,0.34531542071784943,0.4009055425448868,633274.0,28061.0,48683.0,25678.0,0.0001
3.0,155.7929663360119,88.73086439894499,89.52148713599095,0.47678434708634626,0.37685076854802924,0.42096803268837885,630583.0,30752.0,46338.0,28023.0,0.0001
4.0,151.66035315394402,88.9326549201947,89.624790674409,0.4840584872969866,0.4020118072645607,0.4392365447626324,629472.0,31863.0,44467.0,29894.0,0.0001
5.0,148.1459234058857,89.15684395138265,89.69846240838608,0.4888788440856025,0.42179368217210633,0.4528653315814551,628543.0,32792.0,42996.0,31365.0,5e-05
6.0,145.09193220734596,89.37579873290372,89.65319914747396,0.48665979443955976,0.43171823939968534,0.45754558994348915,627472.0,33863.0,42258.0,32103.0,5e-05
7.0,143.18074989318848,89.48473230551704,89.63498510254236,0.4857641081146087,0.4345557483089254,0.4587352625937835,627127.0,34208.0,42047.0,32314.0,5e-05
8.0,141.73759379982948,89.57548195883297,89.77294969661382,0.49342351374403326,0.44344481650327455,0.4671010694808414,627481.0,33854.0,41386.0,32975.0,5e-05
9.0,139.92873454093933,89.70249748484107,89.77444487940672,0.4935474278917633,0.4464168045077393,0.46880053099469715,627271.0,34064.0,41165.0,33196.0,5e-05
10.0,138.45336210727692,89.80623079642167,89.93551684391379,0.5024808652506692,0.43171823939968534,0.4644195298372514,629549.0,31786.0,42258.0,32103.0,2.5e-05
11.0,135.64237037301064,89.95741224134649,89.67848132924469,0.48858758700696053,0.45310041554040426,0.4701753406688482,626068.0,35267.0,40668.0,33693.0,2.5e-05
12.0,134.0981808900833,90.10471898197243,89.41750396903069,0.47565292527245867,0.45897715200172134,0.46716627314101905,623711.0,37624.0,40231.0,34130.0,2.5e-05
13.0,132.9709089398384,90.12997253718356,89.69275352863139,0.48919105852574574,0.44703540834577266,0.4671641581292073,626624.0,34711.0,41119.0,33242.0,2.5e-05
14.0,131.62708455324173,90.25776980177828,89.68024836345447,0.48837070699545554,0.44078213041782655,0.4633577426559982,626997.0,34338.0,41584.0,32777.0,2.5e-05
15.0,130.47106635570526,90.29909998096636,89.66692764402688,0.48809233286918075,0.4572423716733234,0.4721639749482718,625675.0,35660.0,40360.0,34001.0,1.25e-05
16.0,129.15913370251656,90.38913587296408,89.61880994323742,0.4856670891303419,0.4586409542636597,0.4717672771537652,625217.0,36118.0,40256.0,34105.0,1.25e-05
17.0,128.3019119799137,90.42873263180792,89.7291816184946,0.49120700511033344,0.45112357284060195,0.47031278477995714,626588.0,34747.0,40815.0,33546.0,1.25e-05
18.0,127.57504230737686,90.49052396878484,89.49851569126378,0.4800550584996559,0.46900929250548,0.4744678969600914,623561.0,37774.0,39485.0,34876.0,1.25e-05
19.0,127.03697016835213,90.5213176713707,89.49267088580066,0.4797303816835982,0.4680275951103401,0.473806736188635,623591.0,37744.0,39558.0,34803.0,1.25e-05
20.0,126.54257839918137,90.5733882589662,89.54473043213501,0.48165834910801353,0.45167493713102297,0.4661850332771197,625190.0,36145.0,40774.0,33587.0,6.25e-06
21.0,125.96107536554337,90.6064931886777,89.48070942345751,0.4785939421350935,0.4553596643401783,0.4666877997684547,624445.0,36890.0,40500.0,33861.0,6.25e-06
22.0,125.63344702124596,90.62753215324796,89.66420912985798,0.48783844471164295,0.45285835316899986,0.4696980263616709,625981.0,35354.0,40686.0,33675.0,6.25e-06
23.0,125.19537064433098,90.67402860483455,89.55628411735282,0.4823470626026126,0.4543510711259935,0.46793069540046817,625076.0,36259.0,40575.0,33786.0,6.25e-06
24.0,125.02092796564102,90.6573741740762,89.49403014288511,0.479633670108537,0.4641277013488253,0.47175330444647956,623891.0,37444.0,39848.0,34513.0,6.25e-06
25.0,124.79152244329453,90.69391195584197,89.73720123529284,0.4915014585937965,0.4440903161603529,0.46659460681460135,627170.0,34165.0,41338.0,33023.0,3.125e-06
